"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"M&amp;M","EQ","22-Aug-2017","       1378.65","       1382.70","       1385.80","       1371.00","       1373.20","       1374.65","       1376.84","     292349","           402517219.30","      15230","     152245","         52.08"
"M&amp;M","EQ","23-Aug-2017","       1374.65","       1378.00","       1387.00","       1367.05","       1375.00","       1374.20","       1374.93","     789242","          1085156222.55","      14913","     575716","         72.95"
"M&amp;M","EQ","24-Aug-2017","       1374.20","       1375.00","       1383.00","       1367.80","       1376.30","       1375.15","       1374.92","     790046","          1086251763.60","      32240","     580275","         73.45"
"M&amp;M","EQ","28-Aug-2017","       1375.15","       1380.00","       1380.45","       1366.50","       1372.75","       1373.05","       1372.50","    1035223","          1420840103.55","      26502","     880571","         85.06"
"M&amp;M","EQ","29-Aug-2017","       1373.05","       1375.25","       1379.00","       1367.05","       1375.00","       1376.95","       1374.84","     537856","           739466409.90","      16638","     337557","         62.76"
"M&amp;M","EQ","30-Aug-2017","       1376.95","       1385.00","       1388.55","       1353.85","       1360.00","       1358.15","       1376.14","    1055176","          1452074708.40","      26166","     720286","         68.26"
"M&amp;M","EQ","31-Aug-2017","       1358.15","       1358.00","       1360.30","       1333.00","       1344.10","       1344.80","       1344.66","    1558002","          2094988754.20","      67121","    1021371","         65.56"
"M&amp;M","EQ","01-Sep-2017","       1344.80","       1344.80","       1351.65","       1336.90","       1346.80","       1347.60","       1344.64","    1087301","          1462027916.80","      44840","     613120","         56.39"
"M&amp;M","EQ","04-Sep-2017","       1347.60","       1348.00","       1348.00","       1324.10","       1326.35","       1328.30","       1333.51","     407303","           543142765.95","      28007","     182255","         44.75"
"M&amp;M","EQ","05-Sep-2017","       1328.30","       1329.05","       1331.45","       1313.45","       1325.00","       1324.65","       1321.60","     773888","          1022767747.40","      27611","     338504","         43.74"
"M&amp;M","EQ","06-Sep-2017","       1324.65","       1321.40","       1324.65","       1310.00","       1316.80","       1316.55","       1318.52","     649266","           856068432.20","      32912","     376681","         58.02"
"M&amp;M","EQ","07-Sep-2017","       1316.55","       1318.65","       1343.00","       1318.65","       1342.00","       1339.95","       1334.00","    1164341","          1553229848.00","      37645","     826666","         71.00"
"M&amp;M","EQ","08-Sep-2017","       1339.95","       1345.00","       1346.85","       1288.20","       1294.95","       1295.40","       1306.25","    1969487","          2572639909.05","      89869","    1001226","         50.84"
"M&amp;M","EQ","11-Sep-2017","       1295.40","       1300.00","       1330.00","       1278.00","       1282.60","       1280.20","       1291.07","    1665419","          2150177448.20","      68418","    1151845","         69.16"
"M&amp;M","EQ","12-Sep-2017","       1280.20","       1284.00","       1304.90","       1278.95","       1300.00","       1300.75","       1292.99","    1061452","          1372441917.95","      39769","     532150","         50.13"
"M&amp;M","EQ","13-Sep-2017","       1300.75","       1310.00","       1320.05","       1303.00","       1308.00","       1307.35","       1316.46","    2388029","          3143736336.80","      35552","    1893940","         79.31"
"M&amp;M","EQ","14-Sep-2017","       1307.35","       1313.00","       1313.00","       1288.25","       1294.00","       1290.75","       1294.82","     715922","           926991825.40","      25326","     389372","         54.39"
"M&amp;M","EQ","15-Sep-2017","       1290.75","       1290.00","       1304.00","       1285.00","       1286.00","       1294.25","       1294.37","     840187","          1087512077.15","      31964","     598791","         71.27"
